[00001] t,ax,ay,az,gx,gy,gz,press,temp,mx,my,mz,bat_v
[00002] 0,-0.995,0.001,-0.009,-3.66,-3.66,6.41,95.77,28.5,4514,1015,1061,4.02
[00003] 0,-1.022,-0.068,-0.009,6.0,0.79,6.17,99.3,28.53,4474,931,1123,4.022
[00004] 0,-1.023,-0.081,-0.019,-3.66,0.07,1.87,101.02,28.53,4467,899,1147,4.02
[00005] 0,-0.992,-0.038,-0.001,-3.09,-1.47,0.47,100.8,28.51,4462,906,1170,4.022
[00006] 1,-1.012,-0.002,-0.019,-2.75,2.0,-0.55,99.14,28.52,4472,962,1173,4.021
[00007] 1,-1.014,-0.025,-0.05,28.35,2.92,2.32,100.72,28.54,4516,1165,913,4.02
[00008] 1,-1.002,0.061,0.022,-8.88,2.18,2.13,100.58,28.51,4504,1334,978,4.019
[00009] 1,-1.079,-0.003,-0.039,6.59,-1.79,-0.4,100.62,28.53,4523,1336,867,4.024
[00010] 2,-1.047,0.049,-0.115,14.95,-4.79,-13.14,100.16,28.53,4578,1251,848,4.022
[00011] 2,-1.001,-0.023,-0.023,41.84,-2.05,-0.88,96.9,28.52,4627,1218,745,4.024
[00012] 2,-0.97,-0.019,0.072,62.85,1.37,2.47,94.75,28.55,4659,1209,531,4.021
[00013] 2,-0.96,-0.116,0.042,56.21,0.09,-7.64,95.12,28.56,4711,891,253,4.019
[00014] 3,-0.943,-0.12,0.005,58.05,0.34,6.08,100.9,28.55,4706,656,-93,4.019
[00015] 3,-1.01,-0.214,0.05,57.04,-11.11,-1.85,99.96,28.55,4718,488,-130,4.022
[00016] 3,-1.023,-0.031,0.06,35.59,3.24,6.65,100.5,28.52,4652,575,-371,4.023
[00017] 3,-1.023,0.041,0.008,18.21,5.47,-1.99,100.75,28.53,4602,570,-590,4.025
[00018] 4,-0.976,-0.029,0.1,41.15,1.79,7.28,97.03,28.53,4670,318,-398,4.019
[00019] 4,-1.025,0.001,0.09,67.78,11.17,-2.44,101.08,28.54,4661,26,-467,4.024
[00020] 4,-1.01,0.046,0.026,47.2,-5.89,-4.52,99.48,28.55,4662,-263,-390,4.021
[00021] 4,-0.955,-0.04,0.067,56.6,6.98,-6.6,100.97,28.54,4653,-499,-297,4.019
[00022] 5,-1.037,0.009,0.077,49.43,-1.95,-9.89,98.77,28.55,4628,-846,-6,4.021
[00023] 5,-1.007,0.028,0.043,20.5,1.37,-7.35,100.95,28.54,4621,-941,167,4.015
[00024] 5,-1.012,0.039,-0.049,32.76,8.46,-4.98,97.31,28.54,4605,-991,328,4.019
[00025] 5,-0.97,0.009,0.003,67.76,18.03,-9.38,93.62,28.55,4556,-1020,496,4.023
[00026] 6,-1.016,0.013,0.011,58.79,-2.37,-5.29,101.58,28.56,4510,-1079,840,4.024
[00027] 6,-0.975,-0.119,-0.012,45.95,-0.34,-1.78,98.19,28.55,4495,-1010,1081,4.021
[00028] 6,-1.003,-0.003,0.071,35.28,-4.34,1.4,97.64,28.55,4448,-932,1402,4.019
[00029] 6,-0.991,-0.088,0.036,59.27,9.15,0.69,100.86,28.55,4415,-715,1678,4.019
[00030] 7,-0.976,-0.042,0.065,69.18,-6.34,-1.91,100.65,28.6,4423,-195,1879,4.024
[00031] 7,-1.007,0.023,0.071,60.92,1.93,6.04,100.49,28.57,4414,389,1929,4.021
[00032] 7,-1.011,0.01,0.028,57.63,5.08,-0.82,100.13,28.56,4442,796,1676,4.025
[00033] 7,-0.994,0.096,-0.011,25.59,1.19,-5.23,100.66,28.6,4474,1027,1511,4.019
[00034] 8,-0.987,0.058,0.094,81.1,8.57,-0.57,100.63,28.59,4467,1235,1397,4.025
[00035] 8,-0.994,-0.003,0.062,76.07,5.16,-8.16,100.65,28.57,4518,1404,854,4.019
[00036] 8,-1.005,0.012,0.058,65.27,-1.03,6.72,99.18,28.6,4514,1452,503,4.017
[00037] 8,-1.004,0.022,0.017,16.85,-1.76,-1.16,96.15,28.6,4495,1476,249,4.023
[00038] 9,-1.022,0.086,0.007,64.18,0.29,7.85,94.45,28.61,4446,1504,-170,4.025
[00039] 9,-0.993,0.091,-0.017,46.74,3.94,4.02,97.8,28.6,4405,1367,-592,4.02
[00040] 9,-1.022,0.09,-0.028,-113.0,-15.31,-11.9,100.59,28.58,4427,1404,-400,4.02
[00041] 9,-0.953,0.141,-0.045,-61.13,4.05,-6.22,102.13,28.6,4401,1662,28,4.022
[00042] 10,-0.998,0.057,-0.012,-76.82,8.7,-5.25,101.14,28.59,4453,1576,548,4.023
[00043] 10,-1.041,0.022,-0.205,-132.47,2.95,24.05,100.64,28.59,4415,1625,832,4.024
[00044] 10,-0.986,0.199,-0.031,-73.04,-9.85,-7.16,98.21,28.6,4402,1219,1513,4.024
[00045] 10,-0.976,0.173,-0.001,-18.76,1.14,-8.56,94.35,28.63,4422,899,1684,4.021
[00046] 11,-0.965,0.047,0.15,1.04,-5.7,-5.03,100.83,28.62,4397,521,1909,4.02
[00047] 11,-1.007,0.086,0.014,-12.53,-1.11,4.57,96.48,28.61,4433,362,1841,4.019
[00048] 11,-0.989,-0.022,0.008,-38.95,-5.6,23.49,103.21,28.62,4391,1,1833,4.019
